grid,cell,record_set,cold64,g50,g50_in_range,yield_,cls,fe_med,fe_p90,dyn_solved,commit1_s,commit1_u,cw1_u,cw64_u,cells_u1,ent1_s,mono,flips_w,syn_osc,dyn_fe_med,dyn_fe_p90,e3_committed,e3_wrong,e3_contra,cal_cold,cal_stalled,cal_top5,cal_conf,cal_ent1,cal_cw
sport2/S5@final,rg,full:full_t64 n422786,0.12020502097988107,30.42331876803251,True,0.04692541869551152,SOFT,15.0,30.0,0.1015625,0.06306148540191094,0.0012682732053657317,0.0,0.45912611746417475,0.3923456703485814,0.5001230785818017,0.07692307692307693,0.29905571315203255,4.043478260869565,15.0,33.60000000000001,0.8564932761371311,0.5349096671679555,0.991304347826087,0.140625,440,0.5145454545454545,0.9996711420741948,0.5923233277122656,0.477352556906808
sport3a/A2@final,rg,full:full_t64 n422786,0.17727644718604685,31.751652817763897,True,0.08341282810603358,SOFT,14.0,39.0,0.125,0.04465291028786388,0.003959408413165152,0.0,0.026006990971996595,0.39834902044382775,0.5189497163212997,0.0,0.4338554777053925,8.741071428571429,15.0,34.5,0.1592242952925913,0.14843479709626708,0.11607142857142858,0.1953125,412,0.7781553398058252,0.9111201687923913,0.5828530052983056,0.026061632414327494
sport3a/A3@final,rg,full:full_t64 n422786,0.15437833797713263,30.120721018853747,True,0.05900862414594964,SOFT,15.0,30.0,0.1171875,0.051816407915698685,0.0021012914620493427,0.0,0.0035228445222236014,0.39772299723544396,0.49863775899648466,0.0,1.1738481995219079,5.654867256637168,15.0,20.599999999999998,0.08684399090890567,0.04252966797214584,0.02654867256637168,0.15625,432,0.8069444444444445,0.8668768869505988,0.5817457883292954,0.004690882784323195
sport3a/A7@final,rg,full:full_t64 n422786,0.11179651171041614,31.816758805547934,True,0.04216126240464083,SOFT,15.0,30.0,0.09375,0.030655522217645864,0.005829810583377599,0.0,0.005575641709093933,0.4000371029986489,0.5465977818567567,0.0,0.8994421064216698,7.103448275862069,17.0,41.2,0.10463724944352579,0.09732946369609655,0.04310344827586207,0.111328125,455,0.8109890109890111,0.8725585767201015,0.5821015403829968,0.003831157521495316
sportB/B2@final,rg,full:full_t64 n422786,0.25272360011920925,28.551303687430735,True,0.14046104203130574,SOFT,9.0,18.0,0.21875,0.05792752286482157,0.008234883950872034,0.00017543859649122806,0.04524913634803358,0.4358673212543851,0.48789779604138017,0.17857142857142858,1.7188338017598586,4.18,8.0,13.900000000000002,0.15796965127231394,0.14438411852453467,0.15,0.2578125,380,0.7694736842105263,0.8581196493224094,0.5446780776285285,0.03858499837051307
sportBr2/C3@final,rg,full:full_t64 n422786,0.22282904353502717,29.784520644505697,True,0.11119037546418034,SOFT,7.0,29.0,0.234375,0.07949053345120415,0.013986843521174632,0.0005570775750943151,0.14308802488408623,0.44428691488975486,0.47120028678738457,0.16666666666666666,3.7840376877902786,11.13265306122449,7.5,32.700000000000024,0.2927975959745551,0.2807405863376531,0.2653061224489796,0.240234375,389,0.7398457583547556,0.9133966644809302,0.5321579331310365,0.10937407026205635
sportBr2b/C3X@final,rg,scan:scan20k n20000,0.24605,29.501417850576914,True,0.13559817565197052,SOFT,7.0,32.0,0.234375,0.08289518123662272,0.01627017843223789,0.0003780585990828579,0.3097337204650187,0.44487282527749106,0.46507170435665224,0.16666666666666666,2.6110261367227614,11.795918367346939,7.0,25.200000000000003,0.5811915111677749,0.45860256830814883,0.6326530612244898,0.236328125,391,0.6434782608695653,0.9715174006684052,0.5289996239812779,0.25781597226359393
sportBr2b/D3@vb,rg,full:full_t64 n422786,0.2953740190072519,27.599902691328705,True,0.19213402680425484,SOFT,9.0,16.0,0.265625,0.04214789054118534,0.0032860274406155366,0.0,0.04756442157947972,0.42089561644075985,0.5097053968839704,0.11764705882352941,0.9037011552834787,2.5425531914893615,8.0,14.0,0.1531234881104722,0.09449100382107377,0.13829787234042554,0.3125,352,0.7920454545454544,0.8531161514534191,0.5563956915750492,0.0373762155861374
sportBr2b/D4@final,rg,scan:scan20k n20000,0.33285,27.225235638102287,True,0.23079172026663547,SOFT,9.0,16.0,0.2890625,0.042889496619239485,0.002387560055314347,0.0,0.01178566274644582,0.42608985525651594,0.5068046649424557,0.10810810810810811,0.24604878437504218,2.8241758241758244,8.0,18.0,0.06443541353407907,0.11220061989292758,0.04395604395604396,0.345703125,335,0.7713432835820895,0.8529049857338863,0.5525662101590888,0.013945725444314156
sportC0/P1@final,rg,scan:scan20k n20000,0.1953,28.58813825475194,True,0.14349198924102444,SOFT,9.0,24.0,0.1640625,0.09188912056667008,0.020657152772764056,0.00017633574325515782,0.34974949095122987,0.4334885115416764,0.451384896120004,0.14285714285714285,0.6452805000728,4.635514018691588,8.0,23.0,0.709819554376822,0.48840170874275285,0.9813084112149533,0.173828125,423,0.6269503546099291,0.9984862447912247,0.5312870995278973,0.3256358323514066
sportC0/P3s1@final,rg,scan:scan20k n20000,0.38585,26.447951555936772,True,0.30247924219389544,SOFT,9.0,22.0,0.359375,0.057547564889017015,0.009991655072128345,0.0,0.03834178003747326,0.4158396535278033,0.4833456708514204,0.08695652173913043,1.1814166388936989,7.402439024390244,8.5,19.5,0.13503496380431587,0.16055225985593624,0.06097560975609756,0.41796875,298,0.7046979865771812,0.8567707502601931,0.5320180098000249,0.033579616248052495
sportC1/B0@A20k,rg,full:full_vselA20k_t64_ema n422786,0.45419195526814987,25.72847715143669,True,0.3721018970909061,SOFT,9.0,22.0,0.3828125,0.04883974721067613,0.012314166758373764,0.0,0.12687635949583664,0.42322306873632015,0.5036817612944144,0.04081632653061224,0.5637912629238687,8.443037974683545,10.0,32.2,0.2997927318800048,0.3733597179735067,0.3670886075949367,0.44140625,286,0.7069930069930069,0.9458855252999526,0.5386152763325424,0.1029131641962873
sportC1/R0@vsel,rg,full:full_vsel_t64 n422786,0.3733141589361994,27.120942035386314,True,0.2829848005994597,SOFT,12.0,32.0,0.34375,0.042146946308458846,0.009134470403503837,0.00022461814914645102,0.17535361648959671,0.4170930813495241,0.5214443785376199,0.06818181818181818,2.7089532978459987,11.928571428571429,11.5,24.400000000000006,0.3780924922403197,0.4058288957666664,0.5,0.361328125,327,0.7376146788990826,0.968095605161941,0.5568817047479503,0.16322380736280406
sportC1/X0@vsel,trm,full:full_vsel_t64 n422786,0.9280794539081237,10.305644995064409,False,0.9160479899573908,DECIMATING,1.0,11.0,0.9140625,0.9606070123062227,0.9353967236950691,0.6093710424829919,0.5150387296388823,0.35033371230116744,0.014053694428796124,0.5897435897435898,3.3390901079188797,17.272727272727273,1.0,9.400000000000006,0.9048957985339239,0.5701040439147856,1.0,,,,,,
sportC2/R1@vsel,rg,full:full_vsel_t64 n422786,0.3756179249076365,26.674122228031052,True,0.27778929875932856,SOFT,15.0,35.0,0.3203125,0.05043968766268274,0.009178143375257826,0.00021687269572760788,0.006246184222230614,0.4195292014838049,0.5095359914545003,0.07317073170731707,1.1216531218955406,5.425287356321839,13.0,37.0,0.07613751688310885,0.06498831628141973,0.011494252873563218,0.39453125,310,0.8296774193548386,0.8700552930755,0.5509191484330154,0.007197123547382524
sportC2/R2@vsel,rg,full:full_vsel_t64 n422786,0.34034712596916644,27.06117100436945,True,0.2515657013927484,SOFT,9.0,20.0,0.2734375,0.12678877214122114,0.028757542054516992,0.0015826687007453898,0.028020058557586647,0.4590549661318491,0.43872917920048177,0.14285714285714285,0.10626490841699411,3.5806451612903225,8.0,16.200000000000003,0.12782426548285325,0.11868217811553974,0.10752688172043011,0.357421875,329,0.820060790273556,0.8729860612324306,0.5112885431859597,0.027808282832002925
sportC2/R3@vsel,rg,full:full_vsel_t64 n422786,0.43569560013813136,25.90155872141199,True,0.3587191249215421,SOFT,13.0,30.0,0.3671875,0.04674704895788028,0.007679747017346781,0.0,0.1182727853175182,0.43085320281797335,0.5309797466367265,0.06382978723404255,0.17656424235757903,6.345679012345679,13.0,35.19999999999999,0.31336587665744003,0.3042849960741033,0.38271604938271603,0.447265625,283,0.7639575971731448,0.9566064287411451,0.5716181576157635,0.14344392912964604
sportC2/R4@vsel,rg,full:full_vsel_t64 n422786,0.3711806918866755,27.035856106940887,True,0.2866816531594679,SOFT,12.0,30.0,0.375,0.03193080369608304,0.006184657135501227,0.0002358490566037736,0.22745721644207703,0.41684707416765915,0.5414944336540048,0.041666666666666664,1.7068675652574457,9.5625,11.5,20.200000000000017,0.4588148517775291,0.46254083007481384,0.725,0.345703125,335,0.6782089552238806,0.9813668516144823,0.5725226187945649,0.22372748306465215
sportC2/W0@vsel,rg,full:full_vsel_t64 n422786,0.34633124086417244,27.074784034539586,True,0.2655070107476933,SOFT,11.0,30.0,0.3515625,0.04720507439094353,0.009450383589841122,0.00022732439190725163,0.15789348828812402,0.41885742343060894,0.5213487071778227,0.06666666666666667,2.9201975793385673,13.108433734939759,14.0,32.800000000000004,0.3551611780848036,0.4390247729620547,0.5060240963855421,0.375,320,0.70625,0.9740398842841387,0.5620707468913695,0.1622736942860337
sportC2/X1@vsel,trm,full:full_vsel_t64 n422786,0.24229042588922056,29.122829711615022,True,0.1712165327006932,SOFT,2.0,20.0,0.25,0.9813556494927522,0.9772355992608982,0.5897276973289384,0.6062756725880196,0.39551667634825466,0.006116708825682042,0.53125,5.443999100214387,16.84375,1.5,13.800000000000004,0.9836662482260059,0.6157389514847965,1.0,0.212890625,403,0.4094292803970223,1.0,0.006986737423088718,0.5822452955047005
sportC2/X2@vsel,trm,full:full_vsel_t64 n422786,0.43739385883165477,26.078378659474048,True,0.34624051938428185,SOFT,3.0,17.0,0.421875,0.9139185786650975,0.8600781511329904,0.42621771769627037,0.4460872265236138,0.4852387843817113,0.029746568886372306,0.3888888888888889,1.4824611092638738,9.121621621621621,3.0,25.00000000000003,0.9028969162951808,0.49400255733968407,1.0,0.4609375,276,0.6289855072463767,1.0,0.039741002667969594,0.4200050451568925
finalA/A0@vsel,trm,full:full_vsel_t64 n422786,0.9427275264554644,4.008359459326339,False,0.9333571126392541,DECIMATING,1.0,11.0,0.9296875,0.9599777874317635,0.9245904633482773,0.5383433718783588,0.49611277118839125,0.40394005253856036,0.014321585116360171,0.6134453781512605,3.606552654324383,19.77777777777778,1.0,15.400000000000006,0.9068598195438285,0.5466490553826935,1.0,0.931640625,35,0.5314285714285716,1.0,0.014097853286262136,0.468241555969372
finalA/A1@vsel,trm,full:full_vsel_t64 n422786,0.939427984843396,6.824659097978877,False,0.9293035704904343,DECIMATING,1.0,12.0,0.9296875,0.9623884462573433,0.9398411297239314,0.550922824249527,0.5272665302492939,0.4065751304738115,0.01256960820120088,0.5378151260504201,3.881264438359738,19.77777777777778,1.0,12.0,0.9453419943899504,0.5583444987070589,1.0,0.94921875,26,0.4538461538461538,1.0,0.010982040350762771,0.5160308376506199
finalA/A2@vsel,trm,full:full_vsel_t64 n422786,0.92128641913403,10.235561459869066,False,0.9080542721182108,DECIMATING,1.0,11.0,0.890625,0.940965173277351,0.9260956883506399,0.49576734785806054,0.5105014100728494,0.4581555834372616,0.02101705037019785,0.543859649122807,3.688000847511828,23.5,1.0,12.700000000000003,0.9188551936742421,0.554053418471421,1.0,0.919921875,41,0.46829268292682935,1.0,0.01969546753965516,0.5060833260309164
finalA/A3@vsel,dec,full:full_vsel_t64 n100000,0.94655,11.436223051341317,False,0.9377467816172519,DECIMATING,1.0,8.0,0.9296875,0.9640323997586282,0.9421084574568922,0.7217165760837847,0.6196349958799776,0.235834479121505,0.01251546924343024,0.6890756302521008,6.2030138608715975,29.11111111111111,1.0,11.0,0.9062760236755596,0.6827426849182218,1.0,0.947265625,27,0.562962962962963,1.0,0.010168790124841811,0.4806599978408811
finalA/A4@vsel,dec,full:full_vsel_t64 n100000,0.97629,-5.243253230283578,False,0.972348776897736,DECIMATING,1.0,8.0,0.9609375,0.922140394021887,0.9281458260768606,0.566991756646929,0.4760408684546616,0.3787716242888656,0.02758181948107341,0.6585365853658537,4.362712179263903,23.0,1.0,8.399999999999991,0.8446696853593405,0.5644908814589666,1.0,0.9765625,12,0.6166666666666667,1.0,0.024536308697643356,0.44472765966640737
finalA/A5@vsel,dec,full:full_vsel_t64 n100000,0.98111,-19.824260741849436,False,0.9779911684306442,DECIMATING,1.0,6.0,0.9609375,0.9652323145383246,0.9334076396145361,0.6280390107976315,0.5805294322535702,0.3227980959015442,0.011988507622379347,0.6910569105691057,5.2691466388018116,21.2,1.0,6.0,0.9299593637524672,0.6234612696876848,1.0,0.98046875,10,0.5399999999999999,1.0,0.01297109561382697,0.4957837601667002
finalA/A7@vsel,dec,full:full_vsel_t64 n100000,0.98038,-7.963713192423775,False,0.9770916567369922,DECIMATING,1.0,6.0,0.984375,0.944236084781101,0.8573667711598747,0.48871473354231976,0.47774294670846396,0.39592476489028217,0.020120895753241434,0.6904761904761905,5.1846394984326025,22.5,1.0,9.0,0.8841692789968651,0.5407466880770775,1.0,0.97265625,14,0.6,1.0,0.019247942522976014,0.46836085118752996
