THE CORPUS THROUGH ONE LENS — one row per banked grid (R1 class from its D64 record set; C1/C2 from the strat-128 t64 dynamics backfill; C3 from the strat-512 calibration; descriptive)
grid                       cell class      cold64   g50 yield    fe |   dyn commit@1 s|u cw u 1->64  ent1 mono flipW synosc | E3 com/wrong/contra | C3 top5/conf  ent1
sport2/S5@final            rg   SOFT         12.0  30.4     5 15/30 |  10.2     6|0         0->46    0.50    8  0.30    4.0 |    86/   53/   99 |    51/100     0.59
sport3a/A2@final           rg   SOFT         17.7  31.8     8 14/39 |  12.5     4|0         0->3     0.52    0  0.43    8.7 |    16/   15/   12 |    78/91      0.58
sport3a/A3@final           rg   SOFT         15.4  30.1     6 15/30 |  11.7     5|0         0->0     0.50    0  1.17    5.7 |     9/    4/    3 |    81/87      0.58
sport3a/A7@final           rg   SOFT         11.2  31.8     4 15/30 |   9.4     3|1         0->1     0.55    0  0.90    7.1 |    10/   10/    4 |    81/87      0.58
sportB/B2@final            rg   SOFT         25.3  28.6    14  9/18 |  21.9     6|1         0->5     0.49   18  1.72    4.2 |    16/   14/   15 |    77/86      0.54
sportBr2/C3@final          rg   SOFT         22.3  29.8    11  7/29 |  23.4     8|1         0->14    0.47   17  3.78   11.1 |    29/   28/   27 |    74/91      0.53
sportBr2b/C3X@final        rg   SOFT         24.6  29.5    14  7/32 |  23.4     8|2         0->31    0.47   17  2.61   11.8 |    58/   46/   63 |    64/97      0.53
sportBr2b/D3@vb            rg   SOFT         29.5  27.6    19  9/16 |  26.6     4|0         0->5     0.51   12  0.90    2.5 |    15/    9/   14 |    79/85      0.56
sportBr2b/D4@final         rg   SOFT         33.3  27.2    23  9/16 |  28.9     4|0         0->1     0.51   11  0.25    2.8 |     6/   11/    4 |    77/85      0.55
sportC0/P1@final           rg   SOFT         19.5  28.6    14  9/24 |  16.4     9|2         0->35    0.45   14  0.65    4.6 |    71/   49/   98 |    63/100     0.53
sportC0/P3s1@final         rg   SOFT         38.6  26.4    30  9/22 |  35.9     6|1         0->4     0.48    9  1.18    7.4 |    14/   16/    6 |    70/86      0.53
sportC1/B0@A20k            rg   SOFT         45.4  25.7    37  9/22 |  38.3     5|1         0->13    0.50    4  0.56    8.4 |    30/   37/   37 |    71/95      0.54
sportC1/R0@vsel            rg   SOFT         37.3  27.1    28 12/32 |  34.4     4|1         0->18    0.52    7  2.71   11.9 |    38/   41/   50 |    74/97      0.56
sportC1/X0@vsel            trm  DECIMATING   92.8  10.3    92  1/11 |  91.4    96|94       61->52    0.01   59  3.34   17.3 |    90/   57/  100 |     -/-          -
sportC2/R1@vsel            rg   SOFT         37.6  26.7    28 15/35 |  32.0     5|1         0->1     0.51    7  1.12    5.4 |     8/    6/    1 |    83/87      0.55
sportC2/R2@vsel            rg   SOFT         34.0  27.1    25  9/20 |  27.3    13|3         0->3     0.44   14  0.11    3.6 |    13/   12/   11 |    82/87      0.51
sportC2/R3@vsel            rg   SOFT         43.6  25.9    36 13/30 |  36.7     5|1         0->12    0.53    6  0.18    6.3 |    31/   30/   38 |    76/96      0.57
sportC2/R4@vsel            rg   SOFT         37.1  27.0    29 12/30 |  37.5     3|1         0->23    0.54    4  1.71    9.6 |    46/   46/   72 |    68/98      0.57
sportC2/W0@vsel            rg   SOFT         34.6  27.1    27 11/30 |  35.2     5|1         0->16    0.52    7  2.92   13.1 |    36/   44/   51 |    71/97      0.56
sportC2/X1@vsel            trm  SOFT         24.2  29.1    17  2/20 |  25.0    98|98       59->61    0.01   53  5.44   16.8 |    98/   62/  100 |    41/100     0.01
sportC2/X2@vsel            trm  SOFT         43.7  26.1    35  3/17 |  42.2    91|86       43->45    0.03   39  1.48    9.1 |    90/   49/  100 |    63/100     0.04
finalA/A0@vsel             trm  DECIMATING   94.3   4.0    93  1/11 |  93.0    96|92       54->50    0.01   61  3.61   19.8 |    91/   55/  100 |    53/100     0.01
finalA/A1@vsel             trm  DECIMATING   93.9   6.8    93  1/12 |  93.0    96|94       55->53    0.01   54  3.88   19.8 |    95/   56/  100 |    45/100     0.01
finalA/A2@vsel             trm  DECIMATING   92.1  10.2    91  1/11 |  89.1    94|93       50->51    0.02   54  3.69   23.5 |    92/   55/  100 |    47/100     0.02
finalA/A3@vsel             dec  DECIMATING   94.7  11.4    94   1/8 |  93.0    96|94       72->62    0.01   69  6.20   29.1 |    91/   68/  100 |    56/100     0.01
finalA/A4@vsel             dec  DECIMATING   97.6  -5.2    97   1/8 |  96.1    92|93       57->48    0.03   66  4.36   23.0 |    84/   56/  100 |    62/100     0.02
finalA/A5@vsel             dec  DECIMATING   98.1 -19.8    98   1/6 |  96.1    97|93       63->58    0.01   69  5.27   21.2 |    93/   62/  100 |    54/100     0.01
finalA/A7@vsel             dec  DECIMATING   98.0  -8.0    98   1/6 |  98.4    94|86       49->48    0.02   69  5.18   22.5 |    88/   54/  100 |    60/100     0.02
finalA/A8@vsel             dec  DECIMATING   97.0  -0.2    96   1/6 |  95.3    95|91       60->57    0.02   77  4.84   18.3 |    89/   64/  100 |    62/100     0.02
frontier/cgar@released     trm  DECIMATING   91.7  10.7    90   1/9 |  93.8    95|93       58->54    0.02   66  3.59   15.9 |    88/   61/  100 |    54/100     0.02
frontier/eqr@released      trm  DECIMATING   93.2   9.4    92  2/11 |  93.0    97|95       66->54    0.01   57  3.97   20.9 |    90/   60/  100 |    55/100     0.01
frontier/trmpub60k@released trm  MIXED        79.4  19.7    76   1/8 |  78.1    99|98       58->57    0.00   67  6.78   26.1 |    94/   61/  100 |    43/100     0.00
frontier/trmpub@released   trm  MIXED        83.4  18.0    81   1/6 |  80.5    98|97       61->58    0.01   75  6.00   27.0 |    92/   63/  100 |    46/100     0.01
champ/C0@16k-vsel          dec  DECIMATING   98.4  -9.9    98   1/7 |  98.4    96|98       74->56    0.02   57  4.61   21.0 |    91/   62/  100 |    48/100     0.02
champ/C0@30k-final         dec  DECIMATING   98.4  -9.9    98   1/7 |  96.9    96|92       57->54    0.01   70  5.82   22.8 |    89/   61/  100 |    48/100     0.02
champ/C1@28k-vsel          dec  DECIMATING   97.5  -9.8    97   1/6 |  96.9    95|92       57->53    0.02   62  5.04   18.8 |    91/   58/  100 |    62/100     0.02
champ/C1@50k-final         dec  DECIMATING   97.5  -9.8    97   1/6 |  79.7    96|92       53->59    0.01   59  6.72   24.6 |    94/   63/  100 |    62/100     0.02
champ/C2@24k-vsel          dec  DECIMATING   98.7  -4.6    98   1/6 |  99.2    95|93       64->50    0.02   65  6.22   21.0 |    84/   59/  100 |    60/100     0.02
champ/C3@18k-vsel          dec  DECIMATING   98.0  -3.8    98   1/6 |  98.4    96|94       62->59    0.02   65  4.29   13.5 |    89/   65/  100 |    68/100     0.01
champ/C3@50k-final         dec  DECIMATING   98.0  -3.8    98   1/6 |  90.6    96|96       59->57    0.01   71  6.75   26.6 |    93/   62/  100 |    68/100     0.01
champ/C4@20k-vsel          dec  DECIMATING   98.9 -101.9    99   1/5 |  96.9    95|97       52->49    0.02   67  3.72   14.2 |    91/   53/  100 |    53/100     0.02
champ/C5@20k-excursion     dec  DECIMATING   99.1 -20.3    99   2/8 |  29.7    85|81       45->45    0.06   37  2.03   12.5 |    88/   52/   97 |    50/100     0.03
champ/C5@46k-vsel          dec  DECIMATING   99.1 -20.3    99   2/8 |  99.2    93|96       63->50    0.03   46  7.02   30.0 |    94/   53/  100 |    50/100     0.03
champ/C5@50k-final         dec  DECIMATING   99.1 -20.3    99   2/8 |  98.4    91|92       56->44    0.03   59  6.26   26.5 |    82/   53/  100 |    50/100     0.03
champ/C6@28k-vsel          dec  DECIMATING   98.5 -12.1    98   1/6 |  97.7    95|93       62->54    0.02   63  5.91   25.7 |    89/   61/  100 |   100/100     0.01
field/HRM-pub@Mac-torch    hrm  MIXED        59.9  24.0    54  3/17 |  61.3    89|87       46->49    0.04   20  3.68   19.1 |    90/   54/  100 |    49/100     0.05
field/TRM-pub(alphaXiv)@Mac-torch trm  MIXED        83.5  18.1    81   1/4 |  80.5    98|96       58->54    0.01   73  5.75   25.5 |    93/   58/  100 |    50/100     0.01
field/TRM-CGAR@Mac-torch   trm  DECIMATING   91.7  11.4    90  1/13 |  89.8    96|93       52->48    0.01   63  3.53   17.8 |    90/   54/  100 |    53/100     0.03
field/EqR-pub(noise 0)@Mac-torch trm  DECIMATING   93.2  10.2    92  1/10 |  91.0    95|91       49->53    0.02   55  3.57   20.3 |    92/   57/  100 |    51/100     0.03
field/EqR-pub(noise .5)@Mac-torch trm  DECIMATING   90.2  14.6    89  2/18 |  87.9    91|88       45->51    0.03   44  5.48   28.9 |    92/   55/  100 |    46/100     0.04
