== EVAL ARTIFACTS on disk: 694 ==
kind | arm | sub | n | t | k | subset | cell | ema | init | recs | ckpt
calib | pfinalAA0_vsel |  | 35 | - | - | - | - | True | - | True | runs/pretrainfinalA_A0/ckpt_040000.pkl
calib | pfinalAA1_vsel |  | 26 | - | - | - | - | True | - | True | runs/pretrainfinalA_A1/ckpt_042000.pkl
calib | pfinalAA2_vsel |  | 41 | - | - | - | - | True | - | True | runs/pretrainfinalA_A2/ckpt_048000.pkl
calib | pfinalAA3_vsel |  | 27 | - | - | - | - | True | - | True | runs/pretrainfinalA_A3/ckpt_042000.pkl
calib | pfinalAA4_vsel |  | 12 | - | - | - | - | True | - | True | runs/pretrainfinalA_A4/ckpt_010000.pkl
calib | pfinalAA5_vsel |  | 10 | - | - | - | - | True | - | True | runs/pretrainfinalA_A5/ckpt_028000.pkl
calib | pfinalAA7_vsel |  | 14 | - | - | - | - | True | - | True | runs/pretrainfinalA_A7/ckpt_022000.pkl
calib | pfinalAA8_vsel |  | 11 | - | - | - | - | True | - | True | runs/pretrainfinalA_A8/ckpt_012000.pkl
calib | psportC2R1_vsel |  | 310 | - | - | - | - | False | - | True | runs/pretrainsportC2_R1/ckpt_010000.pkl
calib | psportC2R2_vsel |  | 329 | - | - | - | - | False | - | True | runs/pretrainsportC2_R2a/ckpt_040000.pkl
calib | psportC2R3_vsel |  | 283 | - | - | - | - | False | - | True | runs/pretrainsportC2_R3a/ckpt_040000.pkl
calib | psportC2R3_vsel_hard |  | 291 | - | - | - | - | False | - | True | runs/pretrainsportC2_R3a/ckpt_040000.pkl
calib | psportC2R4_vsel |  | 335 | - | - | - | - | True | - | True | runs/pretrainsportC2_R4/ckpt_020000.pkl
calib | psportC2W0_vsel |  | 320 | - | - | - | - | False | - | True | runs/pretrainsportC2_W0a/ckpt_050000.pkl
calib | psportC2X1_vsel |  | 403 | - | - | - | - | True | - | True | runs/pretrainsportC2_X1/ckpt_020000.pkl
calib | psportC2X2_vsel |  | 276 | - | - | - | - | True | - | True | runs/pretrainsportC2_X2/ckpt_050000.pkl
census | pfinalAA0_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A0/ckpt_latest.pkl
census | pfinalAA0_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A0/ckpt_040000.pkl
census | pfinalAA1_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A1/ckpt_latest.pkl
census | pfinalAA1_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A1/ckpt_042000.pkl
census | pfinalAA2_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A2/ckpt_latest.pkl
census | pfinalAA2_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A2/ckpt_048000.pkl
census | pfinalAA3_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A3/ckpt_latest.pkl
census | pfinalAA3_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A3/ckpt_042000.pkl
census | pfinalAA4_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A4/ckpt_latest.pkl
census | pfinalAA4_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A4/ckpt_010000.pkl
census | pfinalAA5_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainfinalA_A5/ckpt_latest.pkl
