THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260907; descriptive; 647 rows; 27s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
d3demo |  | b2d64 |  |  | strat512 | 64 | 128 | rg | None | 512 | 25.78 | 28.5 (12.3) [yes] | 86.8 | 15.1 | 9/20 (0.0) | 29.3 | 0.000 | 68.8 | - | - | 5/85 | -/57.9 | - | - | - / 68.8 | 18.8
d3demo |  | s5d16 |  |  | strat512 | 64 | 127 | rg | None | 512 | 14.06 | 30.2 (11.0) [yes] | 64.5 | 5.3 | 15/27 (0.0) | 3.6 | 0.000 | 70.7 | - | - | 18/98 | -/65.9 | - | - | - / - | -
full | finalA | A0 |  | full_final_t16 | full | 16 | 1 | trm | True | 422786 | 88.22 | 14.8 (22.1) [no] | 99.9 | 86.2 | 1/6 (27.0) | 32.8 | 0.019 | 88.2 | - | - | 0/0 | -/0.0 | - | - | - / 88.2 | -
full | finalA | A0 |  | full_vsel_t16 | full | 16 | 1 | trm | True | 422786 | 87.79 | 15.4 (21.1) [no] | 99.7 | 85.8 | 1/6 (23.4) | 33.8 | 0.041 | 87.8 | - | - | 0/0 | -/0.0 | - | - | - / 87.8 | -
full | finalA | A0 |  | full_vsel_t16_alt | full | 16 | 1 | trm | False | 422786 | 79.55 | 19.3 (18.1) [yes] | 98.8 | 76.3 | 1/8 (13.2) | 33.5 | 0.047 | 79.5 | - | - | 0/0 | -/0.0 | - | - | - / 79.5 | -
full | finalA | A0 |  | full_vsel_t64 | full | 64 | 1 | trm | True | 422786 | 94.27 | 4.0 (32.9) [no] | 99.8 | 93.3 | 1/11 (21.8) | 31.9 | 0.043 | 94.3 | - | - | 0/0 | -/0.0 | - | - | - / 94.3 | -
full | finalA | A1 |  | full_final_t16 | full | 16 | 1 | trm | True | 422786 | 87.45 | 15.9 (20.4) [no] | 99.9 | 85.3 | 1/7 (29.7) | 34.2 | 0.026 | 87.4 | - | - | 0/0 | -/0.0 | - | - | - / 87.4 | -
full | finalA | A1 |  | full_vsel_t16 | full | 16 | 1 | trm | True | 422786 | 86.46 | 16.6 (19.6) [no] | 99.9 | 84.2 | 1/6 (27.0) | 33.4 | 0.023 | 86.5 | - | - | 0/0 | -/0.0 | - | - | - / 86.5 | -
full | finalA | A1 |  | full_vsel_t16_alt | full | 16 | 1 | trm | False | 422786 | 79.15 | 19.7 (17.3) [yes] | 99.0 | 75.8 | 1/7 (18.7) | 31.3 | 0.014 | 79.2 | - | - | 0/0 | -/0.0 | - | - | - / 79.2 | -
full | finalA | A1 |  | full_vsel_t64 | full | 64 | 1 | trm | True | 422786 | 93.94 | 6.8 (29.0) [no] | 99.9 | 92.9 | 1/12 (24.9) | 32.0 | 0.023 | 93.9 | - | - | 0/0 | -/0.0 | - | - | - / 93.9 | -
full | finalA | A2 |  | full_final_t16 | full | 16 | 1 | trm | True | 422786 | 85.55 | 16.9 (19.7) [no] | 99.9 | 83.1 | 1/6 (15.4) | 31.3 | 0.000 | 85.5 | - | - | 0/0 | -/0.0 | - | - | - / 85.5 | -
