THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260909; descriptive; 75 rows; 4s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | champ | C0 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 94.76 | 10.4 (21.9) [no] | 99.9 | 93.9 | 1/5 (36.7) | 32.6 | 0.014 | 94.8 | - | - | 0/0 | -/0.0 | - | - | - / 94.8 | -
full | champ | C0 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 95.09 | 9.9 (22.1) [no] | 100.0 | 94.3 | 1/5 (26.5) | 34.7 | 0.000 | 95.1 | - | - | 0/0 | -/0.0 | - | - | - / 95.1 | -
full | champ | C0 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 92.73 | 14.0 (18.6) [no] | 99.8 | 91.5 | 1/6 (15.7) | 33.4 | 0.000 | 92.7 | - | - | 0/0 | -/0.0 | - | - | - / 92.7 | -
full | champ | C0 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.42 | -9.9 (37.1) [no] | 100.0 | 98.2 | 1/7 (25.5) | 32.6 | 0.000 | 98.4 | - | - | 0/0 | -/0.0 | - | - | - / 98.4 | -
full | champ | C0 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 98.95 | -40.1 (63.0) [no] | 100.0 | 98.8 | 1/7 (25.2) | 31.6 | 0.000 | 99.0 | - | - | 0/0 | -/0.0 | - | - | - / 99.0 | -
full | champ | C0 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 99.14 | -67.5 (85.7) [no] | 100.0 | 99.0 | 1/7 (23.9) | 30.7 | 0.000 | 99.1 | - | - | 0/0 | -/0.0 | - | - | - / 99.1 | -
full | champ | C1 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 81.26 | 19.0 (17.7) [yes] | 99.7 | 78.1 | 1/4 (15.7) | 19.1 | 0.008 | 81.3 | - | - | 0/0 | -/0.0 | - | - | - / 81.3 | -
full | champ | C1 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 94.34 | 9.6 (23.8) [no] | 100.0 | 93.4 | 1/5 (21.9) | 32.4 | 0.005 | 94.3 | - | - | 0/0 | -/0.0 | - | - | - / 94.3 | -
full | champ | C1 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 91.13 | 13.3 (21.9) [no] | 99.6 | 89.7 | 1/5 (14.1) | 31.8 | 0.064 | 91.1 | - | - | 0/0 | -/0.0 | - | - | - / 91.1 | -
full | champ | C1 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 97.46 | -9.8 (41.9) [no] | 100.0 | 97.0 | 1/6 (21.2) | 30.3 | 0.003 | 97.5 | - | - | 0/0 | -/0.0 | - | - | - / 97.5 | -
full | champ | C1 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 98.14 | -43.7 (76.2) [no] | 100.0 | 97.8 | 1/6 (21.1) | 30.2 | 0.005 | 98.1 | - | - | 0/0 | -/0.0 | - | - | - / 98.1 | -
